,training_size,number of trees,tree depth,training efficiency,testing efficiency
290,0.6,58,6,0.6575614896908093,0.6276739501797507
291,0.6,58,7,0.6755282079175945,0.6273424950919151
292,0.6,58,8,0.6973704339548877,0.6254047576553377
293,0.6,58,9,0.7290204144073703,0.6261696540118814
294,0.6,59,4,0.6361782053679182,0.6250733025675022
295,0.6,59,5,0.6469888324182829,0.6259911781953545
296,0.6,59,6,0.658173411976679,0.6273679916371332
297,0.6,59,7,0.6754092230286753,0.6275974605440963
298,0.6,59,8,0.6988152504631912,0.625251778384029
299,0.6,59,9,0.730499226598222,0.6263481298284083
300,0.6,60,4,0.6360762183202733,0.6248948267509753
301,0.6,60,5,0.6468188540055413,0.6259911781953545
302,0.6,60,6,0.6583093947068722,0.6274189847275694
303,0.6,60,7,0.6766500654416889,0.62754646745366
304,0.6,60,8,0.6996311468443508,0.6256087300170827
305,0.6,60,9,0.7312981251381074,0.6262716401927538
306,0.6,61,4,0.6363311859393856,0.6249203232961934
307,0.6,61,5,0.6468528496880896,0.6257872058336096
308,0.6,61,6,0.6583603882306946,0.6274189847275694
309,0.6,61,7,0.6767350546480597,0.6275974605440963
310,0.6,61,8,0.7001750777651238,0.6255577369266464
311,0.6,61,9,0.733932790535602,0.6257872058336096
312,0.6,62,4,0.6365181621934014,0.6251242956579384
313,0.6,62,5,0.6476007547041526,0.6259656816501364
314,0.6,62,6,0.6583603882306946,0.6273934881823513
315,0.6,62,7,0.6768540395369788,0.62795441217715
316,0.6,62,8,0.7018918597338138,0.6255832334718645
317,0.6,62,9,0.7344597236151009,0.6258127023788277
318,0.6,63,4,0.6370280974316261,0.6255832334718645
319,0.6,63,5,0.6476857439105234,0.625889192014482
320,0.6,63,6,0.6594992435960633,0.6276739501797507
321,0.6,63,7,0.677414968299026,0.6281583845388949
322,0.6,63,8,0.7033026805595689,0.6254302542005559
323,0.6,63,9,0.7345277149801975,0.625889192014482
324,0.6,64,4,0.6370450952729003,0.6253282680196833
325,0.6,64,5,0.6478557223232649,0.6261696540118814
326,0.6,64,6,0.6599071917866431,0.6278014329058412
327,0.6,64,7,0.6773809726164777,0.6284388465362943
328,0.6,64,8,0.703421665448488,0.6255577369266464
329,0.6,64,9,0.7350206523771481,0.6253027714744652
330,0.6,65,4,0.6373850520983835,0.6255577369266464
331,0.6,65,5,0.648501640291683,0.626093164376227
332,0.6,65,6,0.6601791572470296,0.6278014329058412
333,0.6,65,7,0.6773809726164777,0.6283878534458581
334,0.6,65,8,0.7039316006867128,0.6257617092883915
335,0.6,65,9,0.7354116027264538,0.6253792611101195
336,0.6,66,4,0.6372660672094644,0.625685219652737
337,0.6,66,5,0.6485526338155054,0.6261696540118814
338,0.6,66,6,0.6601961550883038,0.6278524259962776
339,0.6,66,7,0.6786728085533137,0.6289232808954387
